fixture_id,date,round,home_team,away_team,position,home_player,away_player,winning_player,score,home_games,away_games,status
UA009071,30 Aug 26,7,Kooyong,BLTC,No. 2,Freddy Nasis,Cohen Harris,Cohen Harris,3-6,3,6,Completed
UA009071,30 Aug 26,7,Kooyong,BLTC,No. 3,Ari Lohia,Olivia Hansen,Olivia Hansen,5-7,5,7,Completed
UA009071,30 Aug 26,7,Kooyong,BLTC,No. 4,Kaeleb Sanghvi,James Austin,Kaeleb Sanghvi,6-2,6,2,Completed
UA009072,30 Aug 26,7,Coatesville,Beaumaris CC,No. 1,Dax Chen,Tamara Tran,Dax Chen,6-2,6,2,Completed
UA009072,30 Aug 26,7,Coatesville,Beaumaris CC,No. 2,Timothy Tan,Dexter Karlsson,Timothy Tan,6-3,6,3,Completed
UA009072,30 Aug 26,7,Coatesville,Beaumaris CC,No. 3,Xavier Pace,Joy Chang,Xavier Pace,6-1,6,1,Completed
UA009072,30 Aug 26,7,Coatesville,Beaumaris CC,No. 4,Kona Smith,Jack Van Vuure,Kona Smith,6-1,6,1,Completed
UA009073,30 Aug 26,7,St James,Victory Park,No. 1,William Cunningham,Torin Hunter,Torin Hunter,5-7,5,7,Completed
UA009073,30 Aug 26,7,St James,Victory Park,No. 2,Finlay Davies,Jake Milosz,Jake Milosz,1-6,1,6,Completed
UA009073,30 Aug 26,7,St James,Victory Park,No. 3,Hugh Harrington,Elliott Collins,Elliott Collins,1-6,1,6,Completed
UA009073,30 Aug 26,7,St James,Victory Park,No. 4,Toby Storer,E 4. Frankie Steele,E 4. Frankie Steele,2-6,2,6,Completed
UA009074,30 Aug 26,7,Kings Park,Lauriston,No. 1,Julian Wang,Kevin Liu,Julian Wang,6-2,6,2,Completed
UA009074,30 Aug 26,7,Kings Park,Lauriston,No. 2,Lucas Huang,Hayden Bode,Hayden Bode,4-6,4,6,Completed
UA009074,30 Aug 26,7,Kings Park,Lauriston,No. 3,James Shen,Eitan Novan,Eitan Novan,4-6,4,6,Completed
UA009074,30 Aug 26,7,Kings Park,Lauriston,No. 4,Liam Huang,Benjamin Pham,Liam Huang,6-2,6,2,Completed
UA009081,6 Sep 26,8,Lauriston,Kooyong,No. 1,Dhevesh Jayam,Aston Wollin,Dhevesh Jayam,6-1,6,1,Completed
UA009081,6 Sep 26,8,Lauriston,Kooyong,No. 2,Siddarth Japati,Ari Lohia,Ari Lohia,0-6,0,6,Completed
UA009081,6 Sep 26,8,Lauriston,Kooyong,No. 3,Eitan Novan,Kaeleb Sanghvi,Kaeleb Sanghvi,0-6,0,6,Completed
UA009081,6 Sep 26,8,Lauriston,Kooyong,No. 4,Benjamin Pham,E 4. Harper Barons,Benjamin Pham,6-4,6,4,Completed
UA009082,6 Sep 26,8,Victory Park,Coatesville,No. 1,Torin Hunter,Timothy Tan,Timothy Tan,3-6,3,6,Completed
UA009082,6 Sep 26,8,Victory Park,Coatesville,No. 2,Athharv Balachandar,Xavier Pace,Athharv Balachandar,6-3,6,3,Completed
UA009082,6 Sep 26,8,Victory Park,Coatesville,No. 3,Jake Milosz,Noah Ueckerman,Jake Milosz,6-2,6,2,Completed
UA009082,6 Sep 26,8,Victory Park,Coatesville,No. 4,Kiichi Usui,Kona Smith,Kona Smith,5-7,5,7,Completed
UA009083,6 Sep 26,8,Kings Park,BLTC,No. 1,Julian Wang,Roby Capomolla,Julian Wang,6-1,6,1,Completed
UA009083,6 Sep 26,8,Kings Park,BLTC,No. 2,Jayden Bone,Cohen Harris,Jayden Bone,6-1,6,1,Completed
UA009083,6 Sep 26,8,Kings Park,BLTC,No. 3,James Shen,Olivia Hansen,Olivia Hansen,4-6,4,6,Completed
UA009083,6 Sep 26,8,Kings Park,BLTC,No. 4,George Si,E 4. Swapneel Sengupta,E 4. Swapneel Sengupta,1-6,1,6,Completed
UA009084,6 Sep 26,8,St James,Beaumaris CC,No. 1,William Cunningham,Amara Naing,Amara Naing,4-6,4,6,Completed
UA009084,6 Sep 26,8,St James,Beaumaris CC,No. 2,E 2. Rafael Trevisani,Tamara Tran,E 2. Rafael Trevisani,6-1,6,1,Completed
UA009084,6 Sep 26,8,St James,Beaumaris CC,No. 3,Charlie Pfahl,Dexter Karlsson,Dexter Karlsson,4-6,4,6,Completed
UA009084,6 Sep 26,8,St James,Beaumaris CC,No. 4,Jackson Crinis,Joy Chang,Jackson Crinis,6-4,6,4,Completed
UA009091,13 Sep 26,9,Kooyong,St James,No. 1,Aston Wollin,Finlay Davies,Aston Wollin,6-1,6,1,Completed
UA009091,13 Sep 26,9,Kooyong,St James,No. 2,Elliot Doukas,Hugh Harrington,Elliot Doukas,6-2,6,2,Completed
UA009091,13 Sep 26,9,Kooyong,St James,No. 3,Ari Lohia,Toby Storer,Ari Lohia,6-3,6,3,Completed
UA009091,13 Sep 26,9,Kooyong,St James,No. 4,Kaeleb Sanghvi,Jackson Crinis,Kaeleb Sanghvi,6-2,6,2,Completed
UA009093,13 Sep 26,9,BLTC,Victory Park,No. 1,Roby Capomolla,Torin Hunter,Roby Capomolla,6-1,6,1,Completed
UA009093,13 Sep 26,9,BLTC,Victory Park,No. 2,Olivia Hansen,Athharv Balachandar,Athharv Balachandar,3-6,3,6,Completed
UA009093,13 Sep 26,9,BLTC,Victory Park,No. 3,E X 3. Connor Moir,Elliott Collins,Elliott Collins,0-6,0,6,Completed
UA009093,13 Sep 26,9,BLTC,Victory Park,No. 4,James Austin,Jay Han,Jay Han,2-6,2,6,Completed
UA009094,13 Sep 26,9,Beaumaris CC,Kings Park,No. 1,Amara Naing,Lucas Huang,Amara Naing,6-1,6,1,Completed
UA009094,13 Sep 26,9,Beaumaris CC,Kings Park,No. 2,Dexter Karlsson,Jayden Bone,Jayden Bone,0-6,0,6,Completed
UA009094,13 Sep 26,9,Beaumaris CC,Kings Park,No. 3,Joy Chang,Liam Huang,Liam Huang,1-6,1,6,Completed
UA009094,13 Sep 26,9,Beaumaris CC,Kings Park,No. 4,Jack Van Vuure,George Si,Jack Van Vuure,7-6,7,6,Completed
